path,text
Dataset/public_youtube700_val/e/29/8c47ae4c18a3.wav,варикозное расширение вен у девушки из баку
Dataset/asr_calls_2_val/b/e8/f01b767f3867.wav,забудь этот номер
Dataset/asr_calls_2_val/a/3e/e84b307a0871.wav,я вас слушаю военкомат
Dataset/buriy_audiobooks_2_val/6/38/ad3d36f7131e.wav,целые вселенные
Dataset/buriy_audiobooks_2_val/c/ff/48ababfd3a42.wav,о еще что то
Dataset/buriy_audiobooks_2_val/e/d4/0a460448ed2e.wav,а что пожалуй буду иметь ввиду сказал
Dataset/public_youtube700_val/8/0a/f1babd501165.wav,пределы родной планетной системы
Dataset/public_youtube700_val/6/85/6b43668f55d5.wav,а для тебя у меня нет а у тебя очень большие рога
Dataset/asr_calls_2_val/6/3f/ac4e0bdbf370.wav,я сторож военкомату
Dataset/public_youtube700_val/5/5b/e54d03dde48b.wav,это сущность челове
Dataset/asr_calls_2_val/3/4c/e0834ebee232.wav,угу всех этого кого маму твою устраивало или кого
Dataset/buriy_audiobooks_2_val/1/ea/4b94875ff5d2.wav,сияя и изумляя всех
Dataset/asr_calls_2_val/a/60/08821247ae43.wav,языческая вера так ведь
Dataset/asr_calls_2_val/7/2b/b05cce6de7b6.wav,сволочь звонит тоже наркоман
Dataset/asr_calls_2_val/4/10/91273fb78126.wav,пизда алкогольная
Dataset/asr_calls_2_val/9/f8/95dba95b1ac9.wav,дубовый блядь
Dataset/asr_calls_2_val/3/67/c3ffd541aff4.wav,идут на передачу начальнику отдела
Dataset/asr_calls_2_val/5/79/13fddd608b53.wav,областной военкомат
Dataset/buriy_audiobooks_2_val/f/bb/f1e48b29e6cc.wav,жалобно заглядывала в глаза на коротких привалах боялась что хозяин бросит её
Dataset/buriy_audiobooks_2_val/2/33/c3bcb7159706.wav,умею разговаривать с людьми
Dataset/buriy_audiobooks_2_val/9/a5/826435ceefb3.wav,всеобъемлющего назначения
Dataset/public_youtube700_val/4/f9/4565efe78867.wav,он почему и в церковь пошёл
Dataset/asr_calls_2_val/c/88/532d7d04b304.wav,делать нечего
Dataset/asr_calls_2_val/1/7c/b34d81f2d370.wav,так что ты хочешь короче
Dataset/buriy_audiobooks_2_val/c/6b/42cb09faadd1.wav,собственный мобильный телефон но тётя Биатрис никогда не позволяла
Dataset/buriy_audiobooks_2_val/e/cd/3e2e7aa31470.wav,юбилея сиятельной княгини
Dataset/asr_calls_2_val/3/39/7820c75223ed.wav,ты чё такой озабоченный что ли
Dataset/public_youtube700_val/8/b7/a9d890e774e7.wav,присоединяйтесь
Dataset/asr_calls_2_val/a/57/d2ad2f0806e2.wav,подружиться с тобой
Dataset/buriy_audiobooks_2_val/5/4c/e3a296cebbb7.wav,примеру уничтожить троцкого
Dataset/public_youtube700_val/3/c5/e6359e62a35d.wav,так ну дальше
Dataset/asr_calls_2_val/9/d6/3c351f228740.wav,знаешь чё мы с ней сделали уже здесь
Dataset/asr_calls_2_val/d/a7/678d49598efd.wav,обязательно
Dataset/asr_calls_2_val/6/10/64c725e8befb.wav,нет ну
Dataset/asr_calls_2_val/4/ea/b2c43982e622.wav,военкомата
Dataset/asr_calls_2_val/e/c1/d8281f24b841.wav,так я вот такого блин отметиться что я уезжаю
Dataset/asr_calls_2_val/e/62/9c7647d471c1.wav,потом с друзьями нахуярились
Dataset/public_youtube700_val/6/10/f5cfe09d04e4.wav,у нас щас много разных обществ и сектой называют всё
Dataset/public_youtube700_val/a/d3/e120ab15e808.wav,каталонцы не допустят чтобы мы в них превратились
Dataset/buriy_audiobooks_2_val/4/e6/64249f169876.wav,при каких обстоятельствах
Dataset/public_youtube700_val/7/d1/49a9b98d5694.wav,то есть вещи которые напоминаются относительно которых человек наставляется
Dataset/public_youtube700_val/d/85/08cad27f1958.wav,ещё у него такой шрам на глазу такой
Dataset/asr_calls_2_val/f/44/aa08f9a098c0.wav,значит не в этом дело я так понимаю что на чьёмто узле связи
Dataset/public_youtube700_val/b/6d/4925a206a150.wav,мы п пожелаем вам всего доброго
Dataset/public_youtube700_val/1/db/ede225950fd1.wav,тоже можно
Dataset/buriy_audiobooks_2_val/6/e5/55a6a6bc38d5.wav,но тем
Dataset/asr_calls_2_val/e/c0/371aa04b3080.wav,то есть кто пётр ирина
Dataset/asr_calls_2_val/7/17/d792c6f78f18.wav,в тристо четырнадцатый ка кабинет прибыть в понедельник
Dataset/asr_calls_2_val/7/be/9789e268ffd0.wav,да мне по хуй сколько ей лет
Dataset/asr_calls_2_val/c/e9/175eb4695469.wav,ну хорошо хорошо зайдём
Dataset/public_youtube700_val/5/9c/7e7f89458161.wav,так что в белке проросшем в зерне белка много двадцать пять процентов
Dataset/asr_calls_2_val/4/db/ccaafbc7098a.wav,ну да конечно это ктото балуется по россии ктото названивает соединяет
Dataset/public_youtube700_val/c/4a/6dae647a01e8.wav,вообще
Dataset/asr_calls_2_val/e/98/c8048e600f2b.wav,слушай ты быдло блять
Dataset/buriy_audiobooks_2_val/2/91/c3bf732e63f3.wav,секретное поручение от адмиралтейства всем ждать здесь
Dataset/asr_calls_2_val/f/01/c57302bd3416.wav,вы щас звоните в республику коми
Dataset/public_youtube700_val/c/41/f41278a7698b.wav,вы сняли палец
Dataset/asr_calls_2_val/a/1d/29d7e2cc6c46.wav,начальнику второго отделения
Dataset/buriy_audiobooks_2_val/9/cd/4816e7d6beb8.wav,когда распаковали груз тут же присутствовали два че человека из команды
Dataset/asr_calls_2_val/1/ac/60f7d085d8bb.wav,пять минут не за пять минут с усачёвым вопрос решё был решён то есть усачёва было вот попросили усачёв ну давай так вот без какихлибо оскорблений хорошо
Dataset/buriy_audiobooks_2_val/8/11/7bb07d2cf666.wav,согласился велев дхару не отпускать от себя
Dataset/asr_calls_2_val/b/0a/5abd31629e33.wav,что ты звонишь ту хто а
Dataset/asr_calls_2_val/6/32/d231fb337845.wav,вот и в село такое
Dataset/asr_calls_2_val/2/cf/5660f1aa14a9.wav,начальнику второго отделения
Dataset/buriy_audiobooks_2_val/8/cc/983a6ac749e7.wav,когда фриц принёс пиво из кухни вульф достал
Dataset/asr_calls_2_val/3/79/bd4ba3bec7b8.wav,нет вам никуда не надо прибывать
Dataset/asr_calls_2_val/4/f2/747066f9590e.wav,кому повинную написать
Dataset/asr_calls_2_val/9/a3/7e9c89587e79.wav,а вы из какого города звоните
Dataset/asr_calls_2_val/2/a0/4d9f40cb2ae7.wav,ну и чё так говорить
Dataset/buriy_audiobooks_2_val/d/15/f74922fedb57.wav,заявил нат с уверенностью человека стоявшего в день игры тека на боковой линии
Dataset/asr_calls_2_val/7/be/9a54682938c9.wav,ты засранец
Dataset/asr_calls_2_val/e/f6/15a98483c8bb.wav,вот ещё раз передайте ему что ещё щас списки собираем пос с подписями и ещё ему передадим
Dataset/public_youtube700_val/4/cd/05a3fe16d653.wav,забрасывай
Dataset/buriy_audiobooks_2_val/e/0a/14d0ebc1718d.wav,хотя вывод может быть
Dataset/buriy_audiobooks_2_val/6/f1/9d77045bb170.wav,скрещиваясь шарили по воде
Dataset/asr_calls_2_val/7/f8/9b6df375e7a4.wav,как вы определите тогда
Dataset/public_youtube700_val/d/58/daabc79a6e36.wav,мелкие магазинчики
Dataset/public_youtube700_val/9/8c/ddaae262da5d.wav,ну все стоит на одной линии вот в левой части
Dataset/asr_calls_2_val/e/1c/a906933d1561.wav,выпендриваться
Dataset/buriy_audiobooks_2_val/a/37/b5b955916c43.wav,но не надо думать не надо а то я
Dataset/buriy_audiobooks_2_val/7/66/cd84f09d9f04.wav,надо надо только
