path,text
Dataset/asr_calls_2_val/0/00/2f29b7d43246.wav,забрать не могу кто вы такой
Dataset/asr_calls_2_val/0/00/482a9eee43ef.wav,так значит начальнику второго отделения прибыть эээ в кабинет номер тридцать четыре
Dataset/asr_calls_2_val/0/00/8cae5b959262.wav,аллё что хотите
Dataset/asr_calls_2_val/0/00/8f563817106a.wav,я буду искать вас
Dataset/asr_calls_2_val/0/01/19af819acf38.wav,давай ты не будешь меня перебивать хорошо
Dataset/asr_calls_2_val/0/01/54831cc8c027.wav,мы не занимаемся ааа такими вещами
Dataset/asr_calls_2_val/0/01/5a37beb9960a.wav,хорошо олег михалыч
Dataset/asr_calls_2_val/0/01/5e91ba545dee.wav,а кикой городто
Dataset/asr_calls_2_val/0/01/bcac0c346699.wav,красногорский военный комиссариат
Dataset/asr_calls_2_val/0/01/c9b5c264f815.wav,приневки после двух официальных вызовов будет
Dataset/asr_calls_2_val/0/01/cc8e10b69a3e.wav,тебе целку ломать будут блять
Dataset/asr_calls_2_val/0/02/17fdcd7e1c76.wav,не надо прибывать не надо всё
Dataset/asr_calls_2_val/0/02/6177989c97b8.wav,рейтмология да
Dataset/asr_calls_2_val/0/02/8ae460d646ef.wav,давай отдыхай
Dataset/asr_calls_2_val/0/02/c69d4bcd6ac3.wav,отвечайте по форме
Dataset/asr_calls_2_val/0/03/90fd8a51e9e7.wav,с какой целью
Dataset/asr_calls_2_val/0/04/27d9c00e542a.wav,поэтому э значит по скоку мы сидели в украине и тут у нас была ааа борьба против украинизации еревана
Dataset/asr_calls_2_val/0/04/70625c8daad4.wav,нет я не звонила на областной
Dataset/asr_calls_2_val/0/05/03480a29fbb6.wav,вонючка
Dataset/asr_calls_2_val/0/05/16e26e746c9b.wav,завтра с утра заступаешь на дежурство
Dataset/asr_calls_2_val/0/05/54faf1028e95.wav,так записываю что передать кому
Dataset/asr_calls_2_val/0/05/a89404b0eb1d.wav,помоему я проявляла свою активность
Dataset/asr_calls_2_val/0/05/b88a20fe9362.wav,вам кого надо
Dataset/asr_calls_2_val/0/05/c40e87884d00.wav,вот она просто
Dataset/asr_calls_2_val/0/06/3c7360d23db2.wav,большой палец можно поставить
Dataset/asr_calls_2_val/0/06/64e627ed72ab.wav,но мне гуля прибыть то вот в чём суть то
